code,description,procedure_type_id
"A4406","Ostomy skin barrier, pectin-based, paste, per ounce",2
"A4407","Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each",2
"A4408","Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each",2
"A4409","Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",2
"A4410","Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",2
"A4411","Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each",2
"A4412","Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",2
"A4413","Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",2
"A4414","Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",2
"A4415","Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each",2
"A4416","Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",2
"A4417","Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",2
"A4418","Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",2
"A4419","Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",2
"A4420","Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each",2
"A4421","Ostomy supply; miscellaneous",2
"A4422","Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",2
"A4423","Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",2
"A4424","Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",2
"A4425","Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",2
"A4426","Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each",2
"A4427","Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each",2
"A4428","Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each",2
"A4429","Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",2
"A4430","Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",2
"A4431","Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each",2
"A4432","Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each",2
"A4433","Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each",2
"A4434","Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each",2
"A4435","Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each",2
"A4450","Tape, non-waterproof, per 18 square inches",2
"A4452","Tape, waterproof, per 18 square inches",2
"A4455","Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",2
"A4456","Adhesive remover, wipes, any type, each",2
"A4458","Enema bag with tubing, reusable",2
"A4459","Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type",2
"A4461","Surgical dressing holder, non-reusable, each",2
"A4463","Surgical dressing holder, reusable, each",2
"A4465","Non-elastic binder for extremity",2
"A4467","Belt, strap, sleeve, garment, or covering, any type",2
"A4470","Gravlee jet washer",2
"A4480","VABRA aspirator",2
"A4481","Tracheostoma filter, any type, any size, each",2
"A4483","Moisture exchanger, disposable, for use with invasive mechanical ventilation",2
"A4490","Surgical stockings above knee length, each",2
"A4495","Surgical stockings thigh length, each",2
"A4500","Surgical stockings below knee length, each",2
"A4510","Surgical stockings full length, each",2
"A4520","Incontinence garment, any type, (e.g., brief, diaper), each",2
"A4550","Surgical trays",2
"A4553","Non-disposable underpads, all sizes",2
"A4554","Disposable underpads, all sizes",2
"A4555","Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only",2
"A4556","Electrodes, (e.g., apnea monitor), per pair",2
"A4557","Lead wires, (e.g., apnea monitor), per pair",2
"A4558","Conductive gel or paste, for use with electrical device (e.g., TENS, NMES), per ounce",2
"A4559","Coupling gel or paste, for use with ultrasound device, per ounce",2
"A4561","Pessary, rubber, any type",2
"A4562","Pessary, non rubber, any type",2
"A4565","Slings",2
"A4566","Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment",2
"A4570","Splint",2
"A4575","Topical hyperbaric oxygen chamber, disposable",2
"A4580","Cast supplies (e.g., plaster)",2
"A4590","Special casting material (e.g., fiberglass)",2
"A4595","Electrical stimulator supplies, 2 lead, per month, (e.g., TENS, NMES)",2
"A4600","Sleeve for intermittent limb compression device, replacement only, each",2
"A4601","Lithium ion battery, rechargeable, for non-prosthetic use, replacement",2
"A4602","Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each",2
"A4604","Tubing with integrated heating element for use with positive airway pressure device",2
"A4605","Tracheal suction catheter, closed system, each",2
"A4606","Oxygen probe for use with oximeter device, replacement",2
"A4608","Transtracheal oxygen catheter, each",2
"A4611","Battery, heavy duty; replacement for patient owned ventilator",2
"A4612","Battery cables; replacement for patient-owned ventilator",2
"A4613","Battery charger; replacement for patient-owned ventilator",2
"A4614","Peak expiratory flow rate meter, hand held",2
"A4615","Cannula, nasal",2
"A4616","Tubing (oxygen), per foot",2
"A4617","Mouth piece",2
"A4618","Breathing circuits",2
"A4619","Face tent",2
"A4620","Variable concentration mask",2
"A4623","Tracheostomy, inner cannula",2
"A4624","Tracheal suction catheter, any type other than closed system, each",2
"A4625","Tracheostomy care kit for new tracheostomy",2
"A4626","Tracheostomy cleaning brush, each",2
"A4627","Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",2
"A4628","Oropharyngeal suction catheter, each",2
"A4629","Tracheostomy care kit for established tracheostomy",2
"A4630","Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient",2
"A4633","Replacement bulb/lamp for ultraviolet light therapy system, each",2
"A4634","Replacement bulb for therapeutic light box, tabletop model",2
"A4635","Underarm pad, crutch, replacement, each",2
"A4636","Replacement, handgrip, cane, crutch, or walker, each",2
"A4637","Replacement, tip, cane, crutch, walker, each.",2
"A4638","Replacement battery for patient-owned ear pulse generator, each",2
"A4639","Replacement pad for infrared heating pad system, each",2
"A4640","Replacement pad for use with medically necessary alternating pressure pad owned by patient",2
"A4641","Radiopharmaceutical, diagnostic, not otherwise classified",2
"A4642","Indium In-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries",2
"A4648","Tissue marker, implantable, any type, each",2
"A4649","Surgical supply; miscellaneous",2
"A4650","Implantable radiation dosimeter, each",2
"A4651","Calibrated microcapillary tube, each",2
"A4652","Microcapillary tube sealant",2
"A4653","Peritoneal dialysis catheter anchoring device, belt, each",2
"A4657","Syringe, with or without needle, each",2
"A4660","Sphygmomanometer/blood pressure apparatus with cuff and stethoscope",2
"A4663","Blood pressure cuff only",2
"A4670","Automatic blood pressure monitor",2
"A4671","Disposable cycler set used with cycler dialysis machine, each",2
"A4672","Drainage extension line, sterile, for dialysis, each",2
"A4673","Extension line with easy lock connectors, used with dialysis",2
"A4674","Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz",2
"A4680","Activated carbon filter for hemodialysis, each",2
"A4690","Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each",2
"A4706","Bicarbonate concentrate, solution, for hemodialysis, per gallon",2
"A4707","Bicarbonate concentrate, powder, for hemodialysis, per packet",2
"A4708","Acetate concentrate solution, for hemodialysis, per gallon",2
"A4709","Acid concentrate, solution, for hemodialysis, per gallon",2
"A4714","Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon",2
"A4719","Y set tubing for peritoneal dialysis",2
"A4720","Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis",2
"A4721","Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis",2
"A4722","Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",2
"A4723","Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis",2
"A4724","Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis",2
"A4725","Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis",2
"A4726","Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis",2
"A4728","Dialysate solution, non-dextrose containing, 500 ml",2
"A4730","Fistula cannulation set for hemodialysis, each",2
"A4736","Topical anesthetic, for dialysis, per gram",2
"A4737","Injectable anesthetic, for dialysis, per 10 ml",2
"A4740","Shunt accessory, for hemodialysis, any type, each",2
"A4750","Blood tubing, arterial or venous, for hemodialysis, each",2
"A4755","Blood tubing, arterial and venous combined, for hemodialysis, each",2
"A4760","Dialysate solution test kit, for peritoneal dialysis, any type, each",2
"A4765","Dialysate concentrate, powder, additive for peritoneal dialysis, per packet",2
"A4766","Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml",2
"A4770","Blood collection tube, vacuum, for dialysis, per 50",2
"A4771","Serum clotting time tube, for dialysis, per 50",2
"A4772","Blood glucose test strips, for dialysis, per 50",2
"A4773","Occult blood test strips, for dialysis, per 50",2
"A4774","Ammonia test strips, for dialysis, per 50",2
"A4802","Protamine sulfate, for hemodialysis, per 50 mg",2
"A4860","Disposable catheter tips for peritoneal dialysis, per 10",2
"A4870","Plumbing and/or electrical work for home hemodialysis equipment",2
"A4890","Contracts, repair and maintenance, for hemodialysis equipment",2
"A4911","Drain bag/bottle, for dialysis, each",2
"A4913","Miscellaneous dialysis supplies, not otherwise specified",2
"A4918","Venous pressure clamp, for hemodialysis, each",2
"A4927","Gloves, non-sterile, per 100",2
"A4928","Surgical mask, per 20",2
"A4929","Tourniquet for dialysis, each",2
"A4930","Gloves, sterile, per pair",2
"A4931","Oral thermometer, reusable, any type, each",2
"A4932","Rectal thermometer, reusable, any type, each",2
"A5051","Ostomy pouch, closed; with barrier attached (1 piece), each",2
"A5052","Ostomy pouch, closed; without barrier attached (1 piece), each",2
"A5053","Ostomy pouch, closed; for use on faceplate, each",2
"A5054","Ostomy pouch, closed; for use on barrier with flange (2 piece), each",2
"A5055","Stoma cap",2
"A5056","Ostomy pouch, drainable, with extended wear barrier attached, with filter, (1 piece), each",2
"A5057","Ostomy pouch, drainable, with extended wear barrier attached, with built in convexity, with filter, (1 piece), each",2
"A5061","Ostomy pouch, drainable; with barrier attached, (1 piece), each",2
"A5062","Ostomy pouch, drainable; without barrier attached (1 piece), each",2
"A5063","Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each",2
"A5071","Ostomy pouch, urinary; with barrier attached (1 piece), each",2
"A5072","Ostomy pouch, urinary; without barrier attached (1 piece), each",2
"A5073","Ostomy pouch, urinary; for use on barrier with flange (2 piece), each",2
"A5081","Stoma plug or seal, any type",2
"A5082","Continent device; catheter for continent stoma",2
"A5083","Continent device, stoma absorptive cover for continent stoma",2
"A5093","Ostomy accessory; convex insert",2
"A5102","Bedside drainage bottle with or without tubing, rigid or expandable, each",2
"A5105","Urinary suspensory with leg bag, with or without tube, each",2
"A5112","Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each",2
"A5113","Leg strap; latex, replacement only, per set",2
"A5114","Leg strap; foam or fabric, replacement only, per set",2
"A5120","Skin barrier, wipes or swabs, each",2
"A5121","Skin barrier; solid, 6 x 6 or equivalent, each",2
"A5122","Skin barrier; solid, 8 x 8 or equivalent, each",2
"A5126","Adhesive or non-adhesive; disk or foam pad",2
"A5131","Appliance cleaner, incontinence and ostomy appliances, per 16 oz.",2
"A5200","Percutaneous catheter/tube anchoring device, adhesive skin attachment",2
"A5500","For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",2
"A5501","For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe",2
"A5503","For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe",2
"A5504","For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe",2
"A5505","For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe",2
"A5506","For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with off-set heel(s), per shoe",2
"A5507","For diabetics only, not otherwise specified modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe",2
"A5508","For diabetics only, deluxe feature of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe",2
"A5510","For diabetics only, direct formed, compression molded to patient's foot without external heat source, multiple-density insert(s) prefabricated, per shoe",2
"A5512","For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees Fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of Shore A 35 durometer or 3/16 inch material of Shore A 40 durometer (or higher), prefabricated, each",2
"A5513","For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of Shore A 35 durometer or higher), includes arch filler and other shaping material, custom fabricated, each",2
"A6000","Non-contact wound warming wound cover for use with the non-contact wound warming device and warming card",2
"A6010","Collagen based wound filler, dry form, sterile, per gram of collagen",2
"A6011","Collagen based wound filler, gel/paste, per gram of collagen",2
"A6021","Collagen dressing, sterile, size 16 sq. in. or less, each",2
"A6022","Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each",2
"A6023","Collagen dressing, sterile, size more than 48 sq. in., each",2
"A6024","Collagen dressing wound filler, sterile, per 6 inches",2
"A6025","Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each",2
"A6154","Wound pouch, each",2
"A6196","Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",2
"A6197","Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",2
"A6198","Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 48 sq. in., each dressing",2
"A6199","Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches",2
"A6203","Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",2
"A6204","Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",2
"A6205","Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",2
"A6206","Contact layer, sterile, 16 sq. in. or less, each dressing",2
"A6207","Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",2
"A6208","Contact layer, sterile, more than 48 sq. in., each dressing",2
"A6209","Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",2
"A6210","Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",2
"A6211","Foam dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",2
"A6212","Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",2
"A6213","Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",2
"A6214","Foam dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",2
"A6215","Foam dressing, wound filler, sterile, per gram",2
"A6216","Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",2
"A6217","Gauze, non-impregnated, non-sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",2
"A6218","Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing",2
"A6219","Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",2
"A6220","Gauze, non-impregnated, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",2
"A6221","Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",2
