Código ,Descripción ,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; BIOPSY, SOFT TISSUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; REPAIR OF CLEFT PALATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; EXCISION OF RETROPHARYNGEAL TUMOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; RADICAL SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; RADICAL SURGERY (INCLUDING PROGNATHISM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,ANESTHESIA FOR INTRACRANIAL PROCEDURES; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOTOMY OR CRANIECTOMY FOR EVACUATION OF HEMATOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,ANESTHESIA FOR INTRACRANIAL PROCEDURES; SUBDURAL TAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; BURR HOLES, INCLUDING VENTRICULOGRAPHY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,ANESTHESIA FOR INTRACRANIAL PROCEDURES; VASCULAR PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,ANESTHESIA FOR INTRACRANIAL PROCEDURES; PROCEDURES IN SITTING POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,ANESTHESIA FOR INTRACRANIAL PROCEDURES; CEREBROSPINAL FLUID SHUNTING PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ANESTHESIA FOR INTRACRANIAL PROCEDURES; ELECTROCOAGULATION OF INTRACRANIAL NERVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK; NOT OTHERWISE SPECIFIED, AGE 1 YEAR OR OLDER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK; NEEDLE BIOPSY OF THYROID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,ANESTHESIA FOR ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN YOUNGER THAN 1 YEAR OF AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; SIMPLE LIGATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RECONSTRUCTIVE PROCEDURES ON BREAST (EG, REDUCTION OR AUGMENTATION MAMMOPLASTY, MUSCLE FLAPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST WITH INTERNAL MAMMARY NODE DISSECTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; ELECTRICAL CONVERSION OF ARRHYTHMIAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; BIOPSY OF CLAVICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,ANESTHESIA FOR PARTIAL RIB RESECTION; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,ANESTHESIA FOR PARTIAL RIB RESECTION; THORACOPLASTY (ANY TYPE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,"ANESTHESIA FOR PARTIAL RIB RESECTION; RADICAL PROCEDURES (EG, PECTUS EXCAVATUM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,ANESTHESIA FOR CLOSED CHEST PROCEDURES; (INCLUDING BRONCHOSCOPY) NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,ANESTHESIA FOR CLOSED CHEST PROCEDURES; NEEDLE BIOPSY OF PLEURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,ANESTHESIA FOR CLOSED CHEST PROCEDURES; PNEUMOCENTESIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY NOT UTILIZING 1 LUNG VENTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY UTILIZING 1 LUNG VENTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,ANESTHESIA FOR PERMANENT TRANSVENOUS PACEMAKER INSERTION,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
532,ANESTHESIA FOR ACCESS TO CENTRAL VENOUS CIRCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,ANESTHESIA FOR TRANSVENOUS INSERTION OR REPLACEMENT OF PACING CARDIOVERTER-DEFIBRILLATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,ANESTHESIA FOR CARDIAC ELECTROPHYSIOLOGIC PROCEDURES INCLUDING RADIOFREQUENCY ABLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,ANESTHESIA FOR TRACHEOBRONCHIAL RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); UTILIZING 1 LUNG VENTILATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); DECORTICATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); PULMONARY RESECTION WITH THORACOPLASTY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); INTRATHORACIC PROCEDURES ON THE TRACHEA AND BRONCHI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,ANESTHESIA FOR STERNAL DEBRIDEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITHOUT PUMP OXYGENATOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, YOUNGER THAN 1 YEAR OF AGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, AGE 1 YEAR OR OLDER, FOR ALL NONCORONARY BYPASS PROCEDURES (EG, VALVE PROCEDURES) OR FOR RE-OPERATION FOR CORONARY BYPASS MORE THAN 1 MONTH AFTER ORIGINAL OPERATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR WITH HYPOTHERMIC CIRCULATORY ARREST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING; WITHOUT PUMP OXYGENATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING; WITH PUMP OXYGENATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,ANESTHESIA FOR HEART TRANSPLANT OR HEART/LUNG TRANSPLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD; NOT OTHERWISE SPECIFIED,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
604,ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD; PROCEDURES WITH PATIENT IN THE SITTING POSITION,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
620,"ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD, NOT OTHERWISE SPECIFIED",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
625,"ANESTHESIA FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANTERIOR TRANSTHORACIC APPROACH; NOT UTILIZING 1 LUNG VENTILATION",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
626,"ANESTHESIA FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANTERIOR TRANSTHORACIC APPROACH; UTILIZING 1 LUNG VENTILATION",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
630,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; NOT OTHERWISE SPECIFIED,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
632,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; LUMBAR SYMPATHECTOMY,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
635,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; DIAGNOSTIC OR THERAPEUTIC LUMBAR PUNCTURE,19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
640,"ANESTHESIA FOR MANIPULATION OF THE SPINE OR FOR CLOSED PROCEDURES ON THE CERVICAL, THORACIC OR LUMBAR SPINE",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
670,"ANESTHESIA FOR EXTENSIVE SPINE AND SPINAL CORD PROCEDURES (EG, SPINAL INSTRUMENTATION OR VASCULAR PROCEDURES)",19,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
700,ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL; PERCUTANEOUS LIVER BIOPSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,ANESTHESIA FOR PROCEDURES ON UPPER POSTERIOR ABDOMINAL WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM; ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; NOT OTHERWISE SPECIFIED,"8,9,12",,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
752,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; LUMBAR AND VENTRAL (INCISIONAL) HERNIAS AND/OR WOUND DEHISCENCE,"8,9,12",,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
754,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; OMPHALOCELE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; TRANSABDOMINAL REPAIR OF DIAPHRAGMATIC HERNIA,"8,9,12",,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
770,ANESTHESIA FOR ALL PROCEDURES ON MAJOR ABDOMINAL BLOOD VESSELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; PARTIAL HEPATECTOMY OR MANAGEMENT OF LIVER HEMORRHAGE (EXCLUDING LIVER BIOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,"ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; PANCREATECTOMY, PARTIAL OR TOTAL (EG, WHIPPLE PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; LIVER TRANSPLANT (RECIPIENT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; GASTRIC RESTRICTIVE PROCEDURE FOR MORBID OBESITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL; PANNICULECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM; SCREENING COLONOSCOPY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,"ANESTHESIA FOR COMBINED UPPER AND LOWER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED BOTH PROXIMAL TO AND DISTAL TO THE DUODENUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,ANESTHESIA FOR PROCEDURES ON LOWER POSTERIOR ABDOMINAL WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN; NOT OTHERWISE SPECIFIED,"8,9,12",,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
832,ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN; VENTRAL AND INCISIONAL HERNIAS,"8,9,12",,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
834,"ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, YOUNGER THAN 1 YEAR OF AGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,"ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, INFANTS YOUNGER THAN 37 WEEKS GESTATIONAL AGE AT BIRTH AND YOUNGER THAN 50 WEEKS GESTATIONAL AGE AT TIME OF SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; NOT OTHERWISE SPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; AMNIOCENTESIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; ABDOMINOPERINEAL RESECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; RADICAL HYSTERECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; PELVIC EXENTERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; TUBAL LIGATION/TRANSECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; NOT OTHERWISE SPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RENAL PROCEDURES, INCLUDING UPPER ONE-THIRD OF URETER, OR DONOR NEPHRECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; TOTAL CYSTECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; ADRENALECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
