Código ,Descripción
S14.5,Traumatismo de nervios cervicales simpáticos
S14.6,Traumatismo de otros nervios y de los no especificados del cuello
S17.8,Traumatismo por aplastamiento de otras partes del cuello
S17.9,"Traumatismo por aplastamiento del cuello, parte no especificada"
S22.0,Fractura de vértebra torácica
S22.1,Fracturas múltiples de columna torácica
S24.0,Concusión y edema de la médula espinal torácica
S24.1,Otros traumatismos y los no especificados de la médula espinal torácica
S24.2,Traumatismo de raíces nerviosas de la columna torácica
S32.0,Fractura de vértebra lumbar
S32.7,Fracturas múltiples de la columna lumbar y de la pelvis
S32.8,Fractura de otras partes y de las no especificadas de la columna lumbar y de la pelvis
S33.0,Ruptura traumática de disco intervertebral lumbar
S33.1,Luxación de vértebra lumbar
S34.0,Concusión y edema de la médula espinal lumbar
S34.1,Otro traumatismo de la médula espinal lumbar
S34.2,Traumatismo de raíz nerviosa de la columna lumbar y sacra
S34.3,Traumatismo de la cola de caballo
S34.4,Traumatismo del plexo lumbosacro
S34.5,"Traumatismo de nervios(s) simpático(s) lumbar(es), sacro(s) y pélvico(s)"
S34.6,"Traumatismo de nervio(s) periférico(s) del abdomen, de la región lumbosacra y de la pelvis"
S34.8,"Traumatismo de otros nervios a nivel del abdomen, de la región lumbosacra y de la pelvis y de los no especificados"
S44.0,Traumatismo del nervio cubital a nivel del brazo
S44.1,Traumatismo del nervio mediano a nivel del brazo
S44.2,Traumatismo del nervio radial a nivel del brazo
S44.3,Traumatismo del nervio axilar
S44.4,Traumatismo del nervio musculocutáneo
S44.5,Traumatismo del nervio sensitivo cutáneo a nivel del hombro y del brazo
S44.7,Traumatismo de múltiples nervios a nivel del hombro y del brazo
S44.8,Traumatismo de otros nervios a nivel del hombro y del brazo
S44.9,Traumatismo de nervio no especificado a nivel del hombro y del brazo
S54.0,Traumatismo del nervio cubital a nivel del antebrazo
S54.1,Traumatismo del nervio mediano a nivel del antebrazo
S54.2,Traumatismo del nervio radial a nivel del antebrazo
S54.3,Traumatismo del nervio sensorial cutáneo a nivel del antebrazo
S54.7,Traumatismo de múltiples nervios a nivel del antebrazo
S54.8,Traumatismo de otros nervios a nivel del antebrazo
S54.9,Traumatismo de nervio no especificado a nivel del antebrazo
S64.0,Traumatismo del nervio cubital a nivel de la muñeca y de la mano
S64.1,Traumatismo del nervio mediano a nivel de la muñeca y de la mano
S64.2,Traumatismo del nervio radial a nivel de la muñeca y de la mano
S64.3,Traumatismo del nervio digital del pulgar
S64.4,Traumatismo del nervio digital de otro dedo
S64.7,Traumatismo de múltiples nervios a nivel de la muñeca y de la mano
S64.8,Traumatismo de otros nervios a nivel de la muñeca y de la mano
S64.9,Traumatismo de nervio no especificado a nivel de la muñeca y de la mano
S74.0,Traumatismo del nervio ciático a nivel de la cadera y del muslo
S74.1,Traumatismo del nervio femorocutáneo a nivel de la cadera y del muslo
S74.2,Traumatismo del nervio sensorial cutáneo a nivel de la cadera y del muslo
S74.7,Traumatismo de nervios múltiples a nivel de la cadera y del muslo
S74.8,Traumatismo de otros nervios a nivel de la cadera y del muslo
S74.9,Traumatismo de nervio no especificado a nivel de la cadera y del muslo
S84.0,Traumatismo del nervio tibial a nivel de la pierna
S84.1,Traumatismo del nervio peroneo a nivel de la pierna
S84.2,Traumatismo del nervio sensorial cutáneo a nivel de la pierna
S84.7,Traumatismo de nervios múltiples a nivel de la pierna
S84.8,Traumatismo de otros nervios a nivel de la pierna
S84.9,Traumatismo de nervio no especificado a nivel de la pierna
S94.0,Traumatismo del nervio plantar externo
S94.1,Traumatismo del nervio plantar interno
S94.2,Traumatismo del nervio peroneal profundo a nivel del pie y del tobillo
S94.3,Traumatismo de nervio sensorial cutáneo a nivel del pie y del tobillo
S94.7,Traumatismo de múltiples nervios a nivel del pie y del tobillo
S94.8,Traumatismo de otros nervios a nivel del pie y del tobillo
S94.9,Traumatismo de nervio no especificado a nivel del pie y del tobillo
T06.0,Traumatismos del encéfalo y de nervios craneales con traumatismo de nervios y médula espinal a nivel del cuello
T06.1,Traumatismos de nervios y médula espinal que afectan otras múltiples regiones del cuerpo
T06.2,Traumatismos de nervios que afectan múltiples regiones del cuerpo
T09.4,"Traumatismo de nervios, raíz de nervio espinal y plexos del tronco no especificados"
T11.3,"Traumatismo de nervio no especificado de miembro superior, nivel no especificado"
T13.3,"Traumatismo de nervios no especificados de miembro inferior, nivel no especificado"
T14.4,Traumatismo de nervio(s) de región no especificada del cuerpo
T44.9,Envenenamiento por Otras drogas y las no especificadas que afectan principalmente el sistema nervioso autónomo
T56.0,Envenenamiento por Plomo y sus compuestos
T56.1,Envenenamiento por Mercurio y sus compuestos
T56.3,Envenenamiento por Cadmio y sus compuestos
T56.8,Envenenamiento por Otros metales
T56.9,"Envenenamiento por Metal, no especificado"
T57.0,Envenenamiento por Arsénico y sus compuestos
T85.1,Complicación mecánica de implante de estimulador electrónico del sistema nervioso
T90.0,Secuelas de traumatismo superficial de la cabeza
T90.1,Secuelas de herida de la cabeza
T90.2,Secuelas de fractura del cráneo y de huesos faciales
T90.3,Secuelas de traumatismo de nervios craneales
T90.3,Secuelas de traumatismo de nervios craneales
T90.4,Secuelas de traumatismo del ojo y de la órbita
T90.5,Secuelas de traumatismo intracraneal
T90.8,Secuelas de otros traumatismos especificados de la cabeza
T90.9,Secuelas de traumatismo no especificado de la cabeza
T91.1,Secuelas de fractura de la columna vertebral
T91.3,Secuelas de traumatismo de la médula espinal
T92.4,Secuelas de traumatismo de nervio de miembro superior
T93.4,Secuelas de traumatismo de nervio de miembro inferior
